Player,Season,Season_Label,Team,Pos,Age,G,GS,MP,production_score,efficiency_score,role_score,availability_score,age_score,ovr,player_id
Kevin Durant,2010,2009-10,OKC,SF,21.0,82.0,82.0,3239.0,99.56369982547994,96.2041884816754,99.47643979057591,100.0,79.0,96.9,
Andre Iguodala,2010,2009-10,PHI,SF,26.0,82.0,82.0,3193.0,90.57591623036649,68.19371727748691,85.79842931937173,100.0,96.5,87.4,
Rudy Gay,2010,2009-10,MEM,SF,23.0,80.0,80.0,3175.0,79.84293193717276,62.04188481675393,88.15445026178011,97.5609756097561,86.0,80.8,
Stephen Jackson,2010,2009-10,2TM,SG,31.0,81.0,81.0,3129.0,75.52356020942408,48.232984293193724,98.03664921465969,98.78048780487805,80.0,77.4,
Stephen Jackson,2010,2009-10,CHA,SG,31.0,72.0,72.0,2829.0,76.52705061082025,49.93455497382199,95.15706806282722,87.8048780487805,80.0,76.0,
Gerald Wallace,2010,2009-10,CHA,SF,27.0,76.0,76.0,3119.0,95.24432809773124,87.56544502617801,79.90837696335079,92.6829268292683,100.0,91.5,
O.J. Mayo,2010,2009-10,MEM,SG,22.0,82.0,82.0,3113.0,73.60383944153578,61.780104712041876,80.89005235602095,100.0,82.5,77.2,
Zach Randolph,2010,2009-10,MEM,PF,28.0,81.0,81.0,3051.0,88.61256544502619,78.46858638743456,92.67015706806284,98.78048780487805,95.0,89.4,
Jeff Green,2010,2009-10,OKC,PF,23.0,82.0,82.0,3043.0,77.35602094240838,47.90575916230366,74.73821989528795,100.0,86.0,75.3,
Dirk Nowitzki,2010,2009-10,DAL,PF,31.0,81.0,80.0,3039.0,98.08027923211169,90.70680628272251,98.03664921465969,98.78048780487805,80.0,94.9,
Brook Lopez,2010,2009-10,NJN,C,21.0,82.0,82.0,3027.0,86.8673647469459,85.27486910994764,89.39790575916231,100.0,79.0,88.1,
David Lee,2010,2009-10,NYK,C,26.0,81.0,81.0,3019.0,93.89179755671903,91.29581151832461,89.79057591623037,98.78048780487805,96.5,93.8,
LeBron James,2010,2009-10,CLE,SF,25.0,76.0,76.0,2966.0,100.0,96.07329842931938,98.42931937172776,92.6829268292683,93.0,97.2,
Rajon Rondo,2010,2009-10,BOS,PG,23.0,81.0,81.0,2963.0,95.89877835951135,74.14921465968587,78.33769633507853,98.78048780487805,86.0,88.4,
David West,2010,2009-10,NOH,PF,29.0,81.0,81.0,2949.0,83.55148342059337,80.23560209424085,90.31413612565444,98.78048780487805,90.0,86.8,
LaMarcus Aldridge,2010,2009-10,POR,PF,24.0,78.0,78.0,2922.0,86.82373472949389,69.69895287958116,87.69633507853402,95.1219512195122,89.5,85.0,
Aaron Brooks,2010,2009-10,HOU,PG,25.0,82.0,82.0,2919.0,78.40314136125653,66.49214659685863,94.04450261780104,100.0,93.0,83.1,
Boris Diaw,2010,2009-10,CHA,PF,27.0,82.0,82.0,2906.0,81.06457242582897,52.29057591623037,61.51832460732984,100.0,100.0,77.1,
Stephen Curry,2010,2009-10,GSW,PG,21.0,80.0,77.0,2896.0,77.00698080279233,74.54188481675394,83.7041884816754,97.5609756097561,79.0,80.8,
Joe Johnson,2010,2009-10,ATL,SG,28.0,76.0,76.0,2886.0,92.80104712041884,72.90575916230367,94.89528795811518,92.6829268292683,95.0,89.3,
Jason Kidd,2010,2009-10,DAL,PG,36.0,80.0,80.0,2881.0,96.20418848167539,82.00261780104712,55.170157068062835,97.5609756097561,55.0,83.3,
Josh Smith,2010,2009-10,ATL,PF,24.0,81.0,81.0,2871.0,97.33856893542757,73.88743455497382,84.88219895287958,98.78048780487805,89.5,90.2,
Derrick Rose,2010,2009-10,CHI,PG,21.0,78.0,78.0,2871.0,86.12565445026178,69.24083769633509,95.48429319371728,95.1219512195122,79.0,84.8,
Al Horford,2010,2009-10,ATL,C,23.0,81.0,81.0,2845.0,93.54275741710296,90.51047120418849,65.90314136125654,98.78048780487805,86.0,88.8,
Dwight Howard,2010,2009-10,ORL,C,24.0,82.0,82.0,2843.0,98.34205933682374,98.03664921465969,88.67801047120417,100.0,89.5,96.2,
Amar'e Stoudemire,2010,2009-10,PHO,PF,27.0,82.0,82.0,2838.0,86.99825479930193,96.2041884816754,95.15706806282722,100.0,100.0,93.3,
Kobe Bryant,2010,2009-10,LAL,SG,31.0,73.0,73.0,2835.0,96.24781849912739,78.40314136125654,96.3350785340314,89.02439024390245,80.0,90.0,
John Salmons,2010,2009-10,2TM,SG,30.0,81.0,56.0,2824.0,87.56544502617801,63.0890052356021,75.13089005235602,98.78048780487805,85.0,82.2,
John Salmons,2010,2009-10,CHI,SG,30.0,51.0,28.0,1695.0,65.18324607329843,41.16492146596858,48.298429319371735,62.19512195121951,85.0,59.4,
John Salmons,2010,2009-10,MIL,SG,30.0,30.0,28.0,1129.0,77.4869109947644,83.83507853403141,56.544502617801044,36.58536585365854,85.0,70.2,
Ray Allen,2010,2009-10,BOS,SG,34.0,80.0,80.0,2819.0,86.3001745200698,77.74869109947643,76.2434554973822,97.5609756097561,65.0,82.6,
Russell Westbrook,2010,2009-10,OKC,PG,21.0,82.0,82.0,2813.0,83.33333333333333,48.49476439790576,92.21204188481676,100.0,79.0,79.8,
Deron Williams,2010,2009-10,UTA,PG,25.0,76.0,76.0,2802.0,96.42233856893542,87.63089005235602,87.17277486910996,92.6829268292683,93.0,92.4,
Andrea Bargnani,2010,2009-10,TOR,PF,24.0,80.0,80.0,2799.0,60.427574171029676,65.64136125654451,83.90052356020942,97.5609756097561,89.5,73.5,
Dwyane Wade,2010,2009-10,MIA,SG,28.0,77.0,77.0,2792.0,99.56369982547993,85.99476439790575,95.81151832460733,93.90243902439023,95.0,95.0,
Caron Butler,2010,2009-10,2TM,SG,29.0,74.0,74.0,2783.0,51.134380453752186,35.274869109947645,82.78795811518324,90.2439024390244,90.0,62.5,
Caron Butler,2010,2009-10,WAS,SF,29.0,47.0,47.0,1853.0,41.62303664921466,34.16230366492147,67.5392670157068,57.3170731707317,90.0,51.2,
Caron Butler,2010,2009-10,DAL,SG,29.0,27.0,27.0,930.0,35.689354275741714,39.46335078534031,51.17801047120419,32.926829268292686,90.0,43.8,
Nenê,2010,2009-10,DEN,C,27.0,82.0,82.0,2755.0,95.41884816753925,93.97905759162305,60.340314136125656,100.0,100.0,91.0,
Danilo Gallinari,2010,2009-10,NYK,SF,21.0,81.0,74.0,2747.0,76.52705061082024,70.87696335078535,71.33507853403141,98.78048780487805,79.0,78.2,
Rasual Butler,2010,2009-10,LAC,SF,30.0,82.0,64.0,2702.0,37.303664921465966,25.589005235602095,61.9109947643979,100.0,85.0,52.8,
Tyreke Evans,2010,2009-10,SAC,SG,20.0,72.0,72.0,2677.0,81.45724258289704,65.77225130890052,92.27748691099477,87.8048780487805,75.5,80.3,
Carlos Boozer,2010,2009-10,UTA,PF,28.0,78.0,78.0,2673.0,95.46247818499127,92.99738219895289,88.8089005235602,95.1219512195122,95.0,93.9,
Brandon Jennings,2010,2009-10,MIL,PG,20.0,82.0,82.0,2671.0,74.17102966841186,32.59162303664921,91.81937172774869,100.0,75.5,72.5,
Luis Scola,2010,2009-10,HOU,PF,29.0,82.0,82.0,2671.0,71.20418848167539,72.64397905759162,83.83507853403141,100.0,90.0,79.6,
Steve Nash,2010,2009-10,PHO,PG,35.0,81.0,81.0,2660.0,96.90226876090752,95.54973821989529,84.16230366492147,98.78048780487805,60.0,91.3,
Luol Deng,2010,2009-10,CHI,SF,24.0,70.0,69.0,2651.0,81.15183246073299,59.48952879581152,80.82460732984293,85.36585365853658,89.5,78.2,
Monta Ellis,2010,2009-10,GSW,SG,24.0,64.0,64.0,2647.0,37.21640488656195,52.879581151832454,93.58638743455498,78.04878048780488,89.5,60.2,
Raymond Felton,2010,2009-10,CHA,PG,25.0,80.0,80.0,2643.0,86.08202443280977,50.45811518324607,69.89528795811518,97.5609756097561,93.0,78.9,
Carmelo Anthony,2010,2009-10,DEN,SF,25.0,69.0,69.0,2634.0,91.01221640488656,80.0392670157068,93.84816753926702,84.14634146341463,93.0,88.4,
Trevor Ariza,2010,2009-10,HOU,SF,24.0,72.0,71.0,2629.0,68.673647469459,28.403141361256544,78.01047120418849,87.8048780487805,89.5,67.0,
Chris Kaman,2010,2009-10,LAC,C,27.0,76.0,76.0,2608.0,25.479930191972077,58.18062827225131,91.8848167539267,92.6829268292683,100.0,59.5,
Metta World Peace,2010,2009-10,LAL,SF,30.0,77.0,77.0,2605.0,75.17452006980803,27.421465968586386,57.32984293193717,93.90243902439023,85.0,66.7,
Lamar Odom,2010,2009-10,LAL,PF,30.0,82.0,38.0,2585.0,91.01221640488656,59.29319371727749,60.20942408376963,100.0,85.0,80.8,
Mike Conley,2010,2009-10,MEM,PG,22.0,80.0,80.0,2569.0,61.08202443280977,45.09162303664921,65.57591623036649,97.5609756097561,82.5,66.2,
Jason Terry,2010,2009-10,DAL,SG,32.0,77.0,12.0,2540.0,84.9912739965096,70.74607329842932,83.18062827225131,93.90243902439023,75.0,82.2,
Chris Bosh,2010,2009-10,TOR,C,25.0,70.0,70.0,2526.0,95.28795811518324,93.782722513089,92.08115183246073,85.36585365853658,93.0,92.8,
Baron Davis,2010,2009-10,LAC,PG,30.0,75.0,73.0,2523.0,79.88656195462478,50.32722513089006,85.60209424083769,91.46341463414635,85.0,77.1,
Richard Jefferson,2010,2009-10,SAS,SF,29.0,81.0,70.0,2520.0,71.50959860383945,54.646596858638745,64.52879581151834,98.78048780487805,90.0,73.0,
Andre Miller,2010,2009-10,POR,PG,33.0,82.0,66.0,2500.0,88.00174520069807,66.36125654450262,83.90052356020942,100.0,70.0,83.1,
Rodney Stuckey,2010,2009-10,DET,PG,23.0,73.0,67.0,2499.0,58.246073298429316,37.50000000000001,90.0523560209424,89.02439024390245,86.0,66.3,
Brandon Rush,2010,2009-10,IND,SG,24.0,82.0,64.0,2491.0,45.46247818499128,21.400523560209425,51.43979057591623,100.0,89.5,54.1,
Chauncey Billups,2010,2009-10,DEN,PG,33.0,73.0,73.0,2490.0,95.28795811518324,92.5392670157068,84.94764397905759,89.02439024390245,70.0,89.7,
Jason Richardson,2010,2009-10,PHO,SG,29.0,79.0,76.0,2485.0,86.64921465968587,78.59947643979058,74.47643979057591,96.34146341463415,90.0,85.0,
Corey Brewer,2010,2009-10,MIN,SG,23.0,82.0,82.0,2482.0,20.636998254799302,24.083769633507853,77.15968586387434,100.0,86.0,48.2,
Kirk Hinrich,2010,2009-10,CHI,SG,29.0,74.0,53.0,2481.0,61.73647469458987,21.138743455497384,57.32984293193717,90.2439024390244,90.0,60.1,
Beno Udrih,2010,2009-10,SAC,PG,27.0,79.0,41.0,2477.0,74.38917975567189,70.87696335078533,64.92146596858639,96.34146341463415,100.0,78.1,
Marc Gasol,2010,2009-10,MEM,C,25.0,69.0,69.0,2469.0,92.62652705061082,93.717277486911,58.04973821989528,84.14634146341463,93.0,86.4,
Carl Landry,2010,2009-10,2TM,PF,26.0,80.0,29.0,2469.0,81.93717277486911,90.90314136125656,80.10471204188482,97.5609756097561,96.5,87.3,
Carl Landry,2010,2009-10,HOU,PF,26.0,52.0,1.0,1415.0,80.06108202443282,95.87696335078535,62.303664921465966,63.41463414634146,96.5,79.7,
Carl Landry,2010,2009-10,SAC,PF,26.0,28.0,28.0,1054.0,45.94240837696336,72.64397905759162,47.64397905759162,34.146341463414636,96.5,54.8,
Marvin Williams,2010,2009-10,ATL,SF,23.0,81.0,81.0,2468.0,68.41186736474695,49.67277486910994,52.55235602094241,98.78048780487805,86.0,68.6,
Al Jefferson,2010,2009-10,MIN,C,25.0,76.0,76.0,2463.0,72.16404886561953,63.41623036649215,83.90052356020942,92.6829268292683,93.0,77.3,
Jamal Crawford,2010,2009-10,ATL,SG,29.0,79.0,0.0,2460.0,89.9650959860384,84.42408376963351,87.69633507853403,96.34146341463415,90.0,89.5,
Tim Duncan,2010,2009-10,SAS,C,33.0,78.0,77.0,2438.0,98.56020942408377,84.62041884816753,87.95811518324608,95.1219512195122,70.0,90.8,
Grant Hill,2010,2009-10,PHO,SF,37.0,81.0,81.0,2430.0,76.26527050610821,62.17277486910994,57.133507853403145,98.78048780487805,50.0,71.3,
Brandon Roy,2010,2009-10,POR,SG,25.0,65.0,65.0,2419.0,96.11692844677138,85.86387434554973,88.41623036649214,79.26829268292683,93.0,90.1,
Paul Pierce,2010,2009-10,BOS,SF,32.0,71.0,71.0,2411.0,92.75741710296684,90.83769633507853,81.80628272251309,86.58536585365853,75.0,88.0,
Antawn Jamison,2010,2009-10,2TM,PF,33.0,66.0,64.0,2406.0,72.99301919720767,62.69633507853403,82.26439790575915,80.48780487804879,70.0,73.1,
Antawn Jamison,2010,2009-10,WAS,PF,33.0,41.0,41.0,1595.0,64.44153577661432,62.56544502617801,67.40837696335079,50.0,70.0,62.9,
Antawn Jamison,2010,2009-10,CLE,PF,33.0,25.0,23.0,811.0,50.74171029668412,61.387434554973815,49.80366492146597,30.48780487804878,70.0,51.6,
Pau Gasol,2010,2009-10,LAL,C,29.0,65.0,65.0,2403.0,97.81849912739965,93.25916230366492,75.0,79.26829268292683,90.0,89.9,
Shawn Marion,2010,2009-10,DAL,SF,31.0,75.0,75.0,2385.0,65.18324607329843,55.431937172774866,61.19109947643979,91.46341463414635,80.0,68.1,
Courtney Lee,2010,2009-10,NJN,SG,24.0,71.0,66.0,2375.0,47.33856893542757,37.56544502617801,59.424083769633505,86.58536585365853,89.5,57.3,
Emeka Okafor,2010,2009-10,NOH,C,27.0,82.0,82.0,2370.0,57.417102966841185,68.84816753926701,57.19895287958116,100.0,100.0,70.3,
Rashard Lewis,2010,2009-10,ORL,PF,30.0,72.0,72.0,2369.0,86.78010471204188,66.55759162303666,66.2303664921466,87.8048780487805,85.0,79.6,
Mo Williams,2010,2009-10,CLE,PG,27.0,69.0,68.0,2359.0,87.30366492146597,77.42146596858639,76.43979057591622,84.14634146341463,100.0,84.5,
Jason Thompson,2010,2009-10,SAC,C,23.0,75.0,58.0,2357.0,34.16230366492147,43.91361256544502,67.01570680628272,91.46341463414635,86.0,54.8,
Brendan Haywood,2010,2009-10,2TM,C,30.0,77.0,67.0,2355.0,72.94938917975567,79.05759162303664,44.89528795811518,93.90243902439023,85.0,74.3,
Brendan Haywood,2010,2009-10,WAS,C,30.0,49.0,48.0,1614.0,62.65270506108203,80.03926701570681,30.366492146596855,59.756097560975604,85.0,63.1,
Brendan Haywood,2010,2009-10,DAL,C,30.0,28.0,19.0,741.0,55.62827225130891,77.94502617801047,13.154450261780106,34.146341463414636,85.0,53.4,
Thabo Sefolosha,2010,2009-10,OKC,SG,25.0,82.0,82.0,2348.0,67.4956369982548,16.8848167539267,41.2303664921466,100.0,93.0,60.9,
Troy Murphy,2010,2009-10,IND,PF,29.0,72.0,69.0,2344.0,91.79755671902268,86.19109947643979,63.089005235602095,87.8048780487805,90.0,85.6,
Jonny Flynn,2010,2009-10,MIN,PG,20.0,81.0,81.0,2339.0,8.900523560209423,33.37696335078534,81.282722513089,98.78048780487805,75.5,44.8,
Michael Beasley,2010,2009-10,MIA,PF,21.0,78.0,78.0,2328.0,60.38394415357766,46.00785340314136,85.47120418848166,95.1219512195122,79.0,68.3,
Earl Watson,2010,2009-10,IND,PG,30.0,79.0,52.0,2322.0,28.664921465968586,22.971204188481675,47.18586387434555,96.34146341463415,85.0,46.1,
Wilson Chandler,2010,2009-10,NYK,SG,22.0,65.0,64.0,2320.0,33.85689354275741,49.47643979057592,68.65183246073299,79.26829268292683,82.5,53.9,
Marcus Camby,2010,2009-10,2TM,PF,35.0,74.0,74.0,2314.0,91.8411867364747,52.02879581151832,42.866492146596855,90.2439024390244,60.0,73.1,
Marcus Camby,2010,2009-10,LAC,PF,35.0,51.0,51.0,1596.0,84.29319371727748,51.8979057591623,29.581151832460733,62.19512195121951,60.0,63.9,
Marcus Camby,2010,2009-10,POR,C,35.0,23.0,23.0,718.0,66.75392670157068,51.89790575916231,9.554973821989527,28.04878048780488,60.0,48.7,
Vince Carter,2010,2009-10,ORL,SG,33.0,75.0,74.0,2310.0,88.65619546247818,69.30628272251309,83.24607329842931,91.46341463414635,70.0,82.5,
Elton Brand,2010,2009-10,PHI,PF,30.0,76.0,57.0,2297.0,41.317626527050614,48.88743455497382,73.88743455497382,92.6829268292683,85.0,59.8,
Anthony Parker,2010,2009-10,CLE,SG,34.0,81.0,81.0,2289.0,67.27748691099477,46.79319371727749,41.16492146596859,98.78048780487805,65.0,63.8,
Carlos Delfino,2010,2009-10,MIL,SF,27.0,75.0,66.0,2279.0,80.49738219895289,39.725130890052355,58.24607329842932,91.46341463414635,100.0,72.6,
Danny Granger,2010,2009-10,IND,SF,26.0,62.0,62.0,2278.0,89.52879581151832,83.24607329842932,86.84554973821989,75.60975609756098,96.5,86.5,
Paul Millsap,2010,2009-10,UTA,PF,24.0,82.0,8.0,2277.0,77.13787085514834,78.33769633507853,61.32198952879581,100.0,89.5,79.7,
George Hill,2010,2009-10,SAS,PG,23.0,78.0,43.0,2276.0,81.28272251308901,68.97905759162303,62.36910994764398,95.1219512195122,86.0,78.5,
Hedo Türkoğlu,2010,2009-10,TOR,SF,30.0,74.0,69.0,2272.0,66.8848167539267,51.2434554973822,58.44240837696336,90.2439024390244,85.0,67.8,
Andray Blatche,2010,2009-10,WAS,PF,23.0,81.0,36.0,2256.0,69.02268760907505,57.5261780104712,83.90052356020942,98.78048780487805,86.0,75.1,
Jarrett Jack,2010,2009-10,TOR,PG,26.0,82.0,43.0,2243.0,72.25130890052355,81.67539267015707,62.5,100.0,96.5,79.3,
Jonas Jerebko,2010,2009-10,DET,PF,22.0,80.0,73.0,2232.0,53.359511343804535,55.75916230366492,48.49476439790576,97.5609756097561,82.5,62.7,
Andrew Bogut,2010,2009-10,MIL,C,25.0,69.0,69.0,2229.0,91.44851657940664,75.78534031413614,77.29057591623037,84.14634146341463,93.0,85.3,
Eric Gordon,2010,2009-10,LAC,SG,21.0,62.0,60.0,2229.0,53.272251308900515,66.49214659685865,71.98952879581152,75.60975609756098,79.0,64.6,
Derek Fisher,2010,2009-10,LAL,PG,35.0,82.0,82.0,2227.0,45.54973821989529,12.238219895287957,43.1282722513089,100.0,60.0,48.1,
Arron Afflalo,2010,2009-10,DEN,SG,24.0,82.0,75.0,2221.0,63.56893542757417,49.67277486910995,42.931937172774866,100.0,89.5,65.8,
Devin Harris,2010,2009-10,NJN,PG,26.0,64.0,61.0,2221.0,53.010471204188484,48.82198952879581,82.32984293193716,78.04878048780488,96.5,64.7,
Ryan Gomes,2010,2009-10,MIN,SF,27.0,76.0,64.0,2210.0,36.34380453752181,35.66753926701571,54.51570680628272,92.6829268292683,100.0,53.8,
Taj Gibson,2010,2009-10,CHI,PF,24.0,82.0,70.0,2204.0,42.27748691099476,41.55759162303664,52.09424083769633,100.0,89.5,57.0,
Mike Bibby,2010,2009-10,ATL,PG,31.0,80.0,80.0,2195.0,67.4956369982548,45.22251308900523,49.018324607329845,97.5609756097561,80.0,66.0,
Al Harrington,2010,2009-10,NYK,PF,29.0,72.0,15.0,2195.0,55.23560209424084,69.56806282722513,83.83507853403142,87.8048780487805,90.0,70.8,
Channing Frye,2010,2009-10,PHO,C,26.0,81.0,41.0,2190.0,88.87434554973822,75.85078534031413,51.70157068062827,98.78048780487805,96.5,82.9,
Udonis Haslem,2010,2009-10,MIA,PF,29.0,78.0,0.0,2177.0,51.70157068062827,56.151832460732976,52.87958115183246,95.1219512195122,90.0,63.1,
Shane Battier,2010,2009-10,HOU,SG,31.0,67.0,62.0,2168.0,78.18499127399652,38.416230366492144,38.21989528795811,81.70731707317073,80.0,64.9,
Anderson Varejão,2010,2009-10,CLE,PF,27.0,76.0,7.0,2166.0,84.9476439790576,78.86125654450262,40.37958115183246,92.6829268292683,100.0,79.7,
Steve Blake,2010,2009-10,2TM,PG,29.0,80.0,38.0,2159.0,58.1588132635253,39.52879581151832,42.997382198952884,97.5609756097561,90.0,61.3,
Steve Blake,2010,2009-10,POR,PG,29.0,51.0,28.0,1397.0,57.32984293193717,29.25392670157068,29.712041884816756,62.19512195121951,90.0,51.6,
Steve Blake,2010,2009-10,LAC,PG,29.0,29.0,10.0,762.0,24.432809773123907,54.188481675392666,14.528795811518325,35.36585365853659,90.0,37.1,
Kendrick Perkins,2010,2009-10,BOS,C,25.0,78.0,78.0,2154.0,62.69633507853403,78.1413612565445,53.99214659685864,95.1219512195122,93.0,72.4,
Manu Ginóbili,2010,2009-10,SAS,SG,32.0,75.0,21.0,2150.0,97.90575916230368,91.49214659685865,81.54450261780104,91.46341463414635,75.0,90.9,
Mehmet Okur,2010,2009-10,UTA,C,30.0,73.0,73.0,2149.0,74.82547993019197,68.52094240837697,68.1282722513089,89.02439024390245,85.0,75.7,
