Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,player_id,Season,Season_Label,ovr,next_Season,next_ovr,next_VORP,next_BPM,next_WS,next_PER,next_TS%,next_USG%,next_MP,next_G
A.J. Green,24.0,MIL,SG,56.0,0.0,614.0,10.5,0.617,0.862,0.097,1.6,9.6,5.7,6.4,0.7,0.6,5.5,15.2,0.7,0.3,1.1,0.084,-0.4,-1.7,-2.1,0.0,,,2024,2023-24,43.0,2025.0,51.4,-0.1,-2.2,2.8,9.2,0.621,12.6,1659.0,73.0
A.J. Price,23.0,IND,PG,56.0,2.0,865.0,14.0,0.53,0.492,0.212,1.5,9.7,5.6,20.5,2.0,0.2,13.2,22.7,0.4,0.8,1.2,0.065,-0.1,-0.4,-0.5,0.3,,,2010,2009-10,52.5,2011.0,32.9,-0.2,-2.9,0.3,10.7,0.454,22.7,795.0,50.0
A.J. Price,24.0,IND,PG,50.0,0.0,795.0,10.7,0.454,0.466,0.253,2.3,7.8,5.0,22.7,1.8,0.1,13.0,22.7,-0.4,0.7,0.3,0.02,-1.9,-1.1,-2.9,-0.2,,,2011,2010-11,32.9,2012.0,36.6,0.1,-1.0,0.7,11.5,0.454,17.7,568.0,44.0
A.J. Price,25.0,IND,PG,44.0,1.0,568.0,11.5,0.454,0.506,0.201,2.6,9.4,6.0,23.9,1.9,0.3,14.5,17.7,0.2,0.5,0.7,0.063,-0.6,-0.5,-1.0,0.1,,,2012,2011-12,36.6,2013.0,51.8,0.5,-0.6,2.2,12.4,0.501,18.0,1278.0,57.0
Aaron Brooks,25.0,HOU,PG,82.0,82.0,2919.0,16.0,0.549,0.394,0.224,2.0,6.6,4.2,25.6,1.2,0.3,13.7,25.7,3.9,1.6,5.5,0.091,2.3,-1.6,0.7,1.9,MIP-1,,2010,2009-10,83.1,2011.0,42.8,-0.3,-3.0,1.1,13.1,0.489,25.9,1284.0,59.0
Aaron Brooks,28.0,2TM,PG,53.0,20.0,997.0,11.8,0.555,0.424,0.165,1.5,7.9,4.6,18.0,1.5,0.8,16.5,18.1,0.8,0.0,0.8,0.041,-0.8,-1.4,-2.2,0.0,,,2013,2012-13,43.4,2014.0,38.2,0.4,-1.0,2.2,12.5,0.518,20.5,1557.0,72.0
Aaron Brooks,29.0,2TM,PG,72.0,12.0,1557.0,12.5,0.518,0.427,0.164,3.1,6.7,4.9,23.3,1.6,0.6,15.8,20.5,1.3,0.9,2.2,0.067,-0.2,-0.8,-1.0,0.4,,,2014,2013-14,38.2,2015.0,68.3,0.5,-0.8,3.3,14.4,0.534,25.0,1885.0,82.0
Aaron Brooks,30.0,CHI,PG,82.0,21.0,1885.0,14.4,0.534,0.383,0.213,1.9,7.5,4.8,24.2,1.5,0.6,14.9,25.0,1.7,1.5,3.3,0.083,0.3,-1.1,-0.8,0.5,6MOY-11,,2015,2014-15,68.3,2016.0,41.1,-0.2,-2.6,0.9,11.8,0.494,22.9,1108.0,69.0
Aaron Brooks,31.0,CHI,PG,69.0,0.0,1108.0,11.8,0.494,0.394,0.136,2.0,7.5,4.8,26.0,1.4,0.7,14.2,22.9,0.2,0.7,0.9,0.04,-1.3,-1.3,-2.6,-0.2,,,2016,2015-16,41.1,2017.0,30.6,-0.4,-3.7,0.3,9.5,0.507,19.2,894.0,65.0
Aaron Gordon,19.0,ORL,PF,47.0,8.0,797.0,11.4,0.517,0.231,0.293,6.4,17.8,12.0,6.3,1.3,2.2,13.9,15.5,0.3,0.7,1.0,0.06,-2.6,-0.1,-2.7,-0.2,,,2015,2014-15,33.0,2016.0,73.9,1.4,1.0,5.4,17.0,0.541,17.3,1863.0,78.0
Aaron Gordon,20.0,ORL,PF,78.0,37.0,1863.0,17.0,0.541,0.245,0.333,9.0,21.3,15.1,10.3,1.6,2.4,9.0,17.3,3.2,2.2,5.4,0.139,0.9,0.1,1.0,1.4,,,2016,2015-16,73.9,2017.0,66.2,0.6,-1.0,3.7,14.5,0.53,20.1,2298.0,80.0
Aaron Gordon,21.0,ORL,SF,80.0,72.0,2298.0,14.5,0.53,0.309,0.251,5.3,14.1,9.6,10.5,1.4,1.4,8.5,20.1,2.0,1.7,3.7,0.077,-0.3,-0.7,-1.0,0.6,,,2017,2016-17,66.2,2018.0,66.6,1.1,0.3,2.9,16.5,0.53,24.7,1909.0,58.0
Aaron Gordon,22.0,ORL,PF,58.0,57.0,1909.0,16.5,0.53,0.395,0.26,5.0,21.5,13.2,11.7,1.5,1.9,10.0,24.7,0.9,2.0,2.9,0.072,0.9,-0.6,0.3,1.1,,,2018,2017-18,66.6,2019.0,77.2,1.7,0.6,5.1,15.1,0.538,21.8,2633.0,78.0
Aaron Gordon,23.0,ORL,PF,78.0,78.0,2633.0,15.1,0.538,0.332,0.242,5.2,18.4,11.7,16.6,1.1,1.8,12.3,21.8,1.8,3.3,5.1,0.093,0.3,0.3,0.6,1.7,,,2019,2018-19,77.2,2020.0,66.0,1.0,0.0,3.7,15.1,0.516,20.7,2017.0,62.0
Aaron Gordon,24.0,ORL,PF,62.0,62.0,2017.0,15.1,0.516,0.309,0.292,5.5,20.3,12.7,17.4,1.2,1.7,10.4,20.7,1.4,2.3,3.7,0.087,-0.1,0.1,0.0,1.0,,,2020,2019-20,66.0,2021.0,44.9,0.7,0.1,1.9,14.5,0.547,20.7,1384.0,50.0
Aaron Gordon,25.0,2TM,PF,50.0,50.0,1384.0,14.5,0.547,0.353,0.299,6.0,16.4,11.1,17.8,1.2,2.3,14.7,20.7,0.7,1.2,1.9,0.066,0.2,-0.1,0.1,0.7,,,2021,2020-21,44.9,2022.0,75.6,0.9,-0.6,5.2,15.3,0.602,19.7,2376.0,75.0
Aaron Gordon,26.0,DEN,PF,75.0,75.0,2376.0,15.3,0.602,0.312,0.276,6.1,14.3,10.3,11.6,0.9,1.7,12.5,19.7,3.2,2.0,5.2,0.105,0.5,-1.1,-0.6,0.9,,,2022,2021-22,75.6,2023.0,85.3,2.1,2.1,6.8,19.5,0.617,21.1,2055.0,68.0
Aaron Gordon,27.0,DEN,PF,68.0,68.0,2055.0,19.5,0.617,0.227,0.413,9.4,15.4,12.5,14.2,1.3,2.2,9.8,21.1,4.6,2.2,6.8,0.158,2.4,-0.3,2.1,2.1,,,2023,2022-23,85.3,2024.0,83.0,1.9,1.3,7.1,16.8,0.607,17.8,2297.0,73.0
Aaron Gordon,28.0,DEN,PF,73.0,73.0,2297.0,16.8,0.607,0.193,0.376,8.6,13.9,11.4,15.2,1.2,1.7,11.2,17.8,4.5,2.6,7.1,0.148,1.2,0.1,1.3,1.9,,,2024,2023-24,83.0,2025.0,73.8,1.2,1.2,4.3,17.0,0.65,19.0,1447.0,51.0
Aaron Gray,26.0,NOH,C,41.0,6.0,531.0,11.0,0.566,0.0,0.343,13.4,25.8,19.6,4.7,1.1,1.9,21.9,13.1,0.3,0.8,1.1,0.1,-3.9,-0.2,-4.0,-0.3,,,2011,2010-11,33.3,2012.0,36.6,-0.3,-3.5,1.4,11.1,0.526,13.5,813.0,49.0
